service_category,service_category_name,service_code,service_name,units,unit_type,calculation_type,valid_from,valid_until,notes
11,訪問介護,114845,身体介護０１,163,1回につき,基本,,,PDF p.3
11,訪問介護,114846,身体介護０１・夜,204,1回につき,加算,,,PDF p.3
11,訪問介護,114847,身体介護０１・深,245,1回につき,加算,,,PDF p.3
11,訪問介護,114848,身体介護０１・２人,326,1回につき,基本,,,PDF p.3
11,訪問介護,114849,身体介護０１・２人・夜,408,1回につき,加算,,,PDF p.3
11,訪問介護,114850,身体介護０１・２人・深,489,1回につき,加算,,,PDF p.3
11,訪問介護,11B401,身体介護０１・業未,161,1回につき,基本,,,PDF p.3
11,訪問介護,11B402,身体介護０１・業未・夜,201,1回につき,加算,,,PDF p.3
11,訪問介護,11B403,身体介護０１・業未・深,242,1回につき,加算,,,PDF p.3
11,訪問介護,11B404,身体介護０１・業未・２人,322,1回につき,基本,,,PDF p.3
11,訪問介護,11B405,身体介護０１・業未・２人・夜,403,1回につき,減算,,,PDF p.3
11,訪問介護,11B406,身体介護０１・業未・２人・深,483,1回につき,加算,,,PDF p.3
11,訪問介護,11A001,身体介護０１・虐防,161,1回につき,基本,,,PDF p.3
11,訪問介護,11A002,身体介護０１・虐防・夜,201,1回につき,加算,,,PDF p.3
11,訪問介護,11A003,身体介護０１・虐防・深,242,1回につき,加算,,,PDF p.3
11,訪問介護,11A004,身体介護０１・虐防・２人,322,1回につき,基本,,,PDF p.3
11,訪問介護,11A005,身体介護０１・虐防・２人・夜,403,1回につき,減算,,,PDF p.3
11,訪問介護,11A006,身体介護０１・虐防・２人・深,483,1回につき,加算,,,PDF p.3
11,訪問介護,11B407,身体介護０１・虐防・業未,159,1回につき,基本,,,PDF p.3
11,訪問介護,11B408,身体介護０１・虐防・業未・夜,199,1回につき,加算,,,PDF p.3
11,訪問介護,11B409,身体介護０１・虐防・業未・深,239,1回につき,加算,,,PDF p.3
11,訪問介護,11B410,身体介護０１・虐防・業未・２人,318,1回につき,基本,,,PDF p.3
11,訪問介護,11B411,身体介護０１・虐防・業未・２人・夜,398,1回につき,減算,,,PDF p.3
11,訪問介護,11B412,身体介護０１・虐防・業未・２人・深,477,1回につき,加算,,,PDF p.3
11,訪問介護,114551,身体介護０２,163,1回につき,基本,,,PDF p.3
11,訪問介護,114552,身体介護０２・夜,204,1回につき,加算,,,PDF p.3
11,訪問介護,114553,身体介護０２・深,245,1回につき,加算,,,PDF p.3
11,訪問介護,114554,身体介護０２・２人,326,1回につき,基本,,,PDF p.3
11,訪問介護,114555,身体介護０２・２人・夜,408,1回につき,加算,,,PDF p.3
11,訪問介護,114556,身体介護０２・２人・深,489,1回につき,加算,,,PDF p.3
11,訪問介護,11B413,身体介護０２・業未,161,1回につき,基本,,,PDF p.3
11,訪問介護,11B414,身体介護０２・業未・夜,201,1回につき,加算,,,PDF p.3
11,訪問介護,11B415,身体介護０２・業未・深,242,1回につき,加算,,,PDF p.3
11,訪問介護,11B416,身体介護０２・業未・２人,322,1回につき,基本,,,PDF p.3
11,訪問介護,11B417,身体介護０２・業未・２人・夜,403,1回につき,減算,,,PDF p.3
11,訪問介護,11B418,身体介護０２・業未・２人・深,483,1回につき,加算,,,PDF p.3
11,訪問介護,11A007,身体介護０２・虐防,161,1回につき,基本,,,PDF p.3
11,訪問介護,11A008,身体介護０２・虐防・夜,201,1回につき,加算,,,PDF p.3
11,訪問介護,11A009,身体介護０２・虐防・深,242,1回につき,加算,,,PDF p.3
11,訪問介護,11A010,身体介護０２・虐防・２人,322,1回につき,基本,,,PDF p.3
11,訪問介護,11A011,身体介護０２・虐防・２人・夜,403,1回につき,減算,,,PDF p.3
11,訪問介護,11A012,身体介護０２・虐防・２人・深,483,1回につき,加算,,,PDF p.3
11,訪問介護,11B419,身体介護０２・虐防・業未,159,1回につき,基本,,,PDF p.3
11,訪問介護,11B420,身体介護０２・虐防・業未・夜,199,1回につき,加算,,,PDF p.3
11,訪問介護,11B421,身体介護０２・虐防・業未・深,239,1回につき,加算,,,PDF p.3
11,訪問介護,11B422,身体介護０２・虐防・業未・２人,318,1回につき,基本,,,PDF p.3
11,訪問介護,11B423,身体介護０２・虐防・業未・２人・夜,398,1回につき,減算,,,PDF p.3
11,訪問介護,11B424,身体介護０２・虐防・業未・２人・深,477,1回につき,加算,,,PDF p.3
11,訪問介護,111111,身体介護１,244,1回につき,基本,,,PDF p.4
11,訪問介護,111112,身体介護１・夜,305,1回につき,加算,,,PDF p.4
11,訪問介護,111113,身体介護１・深,366,1回につき,加算,,,PDF p.4
11,訪問介護,111121,身体介護１・２人,488,1回につき,基本,,,PDF p.4
11,訪問介護,111122,身体介護１・２人・夜,610,1回につき,加算,,,PDF p.4
11,訪問介護,111123,身体介護１・２人・深,732,1回につき,加算,,,PDF p.4
11,訪問介護,11B425,身体介護１・業未,242,1回につき,基本,,,PDF p.4
11,訪問介護,11B426,身体介護１・業未・夜,303,1回につき,加算,,,PDF p.4
11,訪問介護,11B427,身体介護１・業未・深,363,1回につき,加算,,,PDF p.4
11,訪問介護,11B428,身体介護１・業未・２人,484,1回につき,基本,,,PDF p.4
11,訪問介護,11B429,身体介護１・業未・２人・夜,605,1回につき,減算,,,PDF p.4
11,訪問介護,11B430,身体介護１・業未・２人・深,726,1回につき,加算,,,PDF p.4
11,訪問介護,11A013,身体介護１・虐防,242,1回につき,基本,,,PDF p.4
11,訪問介護,11A014,身体介護１・虐防・夜,303,1回につき,加算,,,PDF p.4
11,訪問介護,11A015,身体介護１・虐防・深,363,1回につき,加算,,,PDF p.4
11,訪問介護,11A016,身体介護１・虐防・２人,484,1回につき,基本,,,PDF p.4
11,訪問介護,11A017,身体介護１・虐防・２人・夜,605,1回につき,減算,,,PDF p.4
11,訪問介護,11A018,身体介護１・虐防・２人・深,726,1回につき,加算,,,PDF p.4
11,訪問介護,11B431,身体介護１・虐防・業未,240,1回につき,基本,,,PDF p.4
11,訪問介護,11B432,身体介護１・虐防・業未・夜,300,1回につき,加算,,,PDF p.4
11,訪問介護,11B433,身体介護１・虐防・業未・深,360,1回につき,加算,,,PDF p.4
11,訪問介護,11B434,身体介護１・虐防・業未・２人,480,1回につき,基本,,,PDF p.4
11,訪問介護,11B435,身体介護１・虐防・業未・２人・夜,600,1回につき,減算,,,PDF p.4
11,訪問介護,11B436,身体介護１・虐防・業未・２人・深,720,1回につき,加算,,,PDF p.4
11,訪問介護,114111,身体１生活１,309,1回につき,基本,,,PDF p.4
11,訪問介護,114112,身体１生活１・夜,386,1回につき,加算,,,PDF p.4
11,訪問介護,114113,身体１生活１・深,464,1回につき,加算,,,PDF p.4
11,訪問介護,114121,身体１生活１・２人,618,1回につき,基本,,,PDF p.4
11,訪問介護,114122,身体１生活１・２人・夜,773,1回につき,加算,,,PDF p.4
11,訪問介護,114123,身体１生活１・２人・深,927,1回につき,加算,,,PDF p.4
11,訪問介護,114211,身体１生活２,374,1回につき,基本,,,PDF p.4
11,訪問介護,114212,身体１生活２・夜,468,1回につき,加算,,,PDF p.4
11,訪問介護,114213,身体１生活２・深,561,1回につき,加算,,,PDF p.4
11,訪問介護,114221,身体１生活２・２人,748,1回につき,基本,,,PDF p.4
11,訪問介護,114222,身体１生活２・２人・夜,935,1回につき,加算,,,PDF p.4
11,訪問介護,114223,身体１生活２・２人・深,1122,1回につき,加算,,,PDF p.4
11,訪問介護,114311,身体１生活３,439,1回につき,基本,,,PDF p.4
