保険者番号,独自サービス種類コード,独自サービス項目コード,適用開始年月,適用終了年月,独自サービス名称,単位数,算定単位,制限日数回数,算定回数制限期間,支給限度額対象区分,予備項目,給付率,利用者負担額,事業対象者実施区分,要支援１受給者実施区分,要支援２受給者実施区分,要介護１受給者実施区分,要介護２受給者実施区分,要介護３受給者実施区分,要介護４受給者実施区分,要介護５受給者実施区分,国保連合会委託区分,作成年月日
122374,A2,1111,202404,999999,訪問型独自サービス１１,1176,3,,,3,,,,2,2,2,,,,,,1,20240401
122374,A2,1111,202104,202403,訪問型独自サービスⅠ,1176,3,,,3,,,,2,2,2,,,,,,1,20210401
122374,A2,1111,201910,202103,訪問型独自サービスⅠ,1172,3,,,3,,,,2,2,2,,,,,,1,20191001
122374,A2,1111,201602,201909,訪問型独自サービスⅠ,1168,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,1113,201602,201903,訪問型独自サービスⅠ・初任,818,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,1114,201910,202103,訪問型独自サービスⅠ・同一,1055,3,,,3,,,,2,2,2,,,,,,1,20191001
122374,A2,1114,201602,201909,訪問型独自サービスⅠ・同一,1051,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,1115,201602,201903,訪問型独自サービスⅠ・初任・同一,736,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,2111,202404,999999,訪問型独自サービス１１日割,39,2,,,3,,,,2,2,2,,,,,,1,20240401
122374,A2,2111,201910,202403,訪問型独自サービスⅠ日割,39,2,,,3,,,,2,2,2,,,,,,1,20191001
122374,A2,2111,201602,201909,訪問型独自サービスⅠ日割,38,2,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,2113,201602,201903,訪問型独自サービスⅠ日割・初任,27,2,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,2114,201910,202103,訪問型独自サービスⅠ・日割・同一,35,2,,,3,,,,2,2,2,,,,,,1,20191001
122374,A2,2114,201602,201909,訪問型独自サービスⅠ・日割・同一,34,2,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,2115,201602,201903,訪問型独自サービスⅠ・日割・同一・初任,24,2,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,1211,202404,999999,訪問型独自サービス１２,2349,3,,,3,,,,2,2,2,,,,,,1,20240401
122374,A2,1211,202104,202403,訪問型独自サービスⅡ,2349,3,,,3,,,,2,2,2,,,,,,1,20210401
122374,A2,1211,201910,202103,訪問型独自サービスⅡ,2342,3,,,3,,,,2,2,2,,,,,,1,20191001
122374,A2,1211,201602,201909,訪問型独自サービスⅡ,2335,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,1213,201602,201903,訪問型独自サービスⅡ・初任,1635,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,1214,201910,202103,訪問型独自サービスⅡ・同一,2108,3,,,3,,,,2,2,2,,,,,,1,20191001
122374,A2,1214,201602,201909,訪問型独自サービスⅡ・同一,2102,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,1215,201602,201903,訪問型独自サービスⅡ・初任・同一,1472,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,2211,202404,999999,訪問型独自サービス１２日割,77,2,,,3,,,,2,2,2,,,,,,1,20240401
122374,A2,2211,201602,202403,訪問型独自サービスⅡ日割,77,2,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,2213,201602,201903,訪問型独自サービスⅡ日割・初任,54,2,,,3,,,,2,2,2,,,,,,1,20160201
122374,A2,2214,201602,202103,訪問型独自サービスⅡ・日割・同一,69,2,,,3,,,,2,2,2,,,,,,1,20160201
